Total,% Total range 80,% Total range 70,Population,location,% Total range 60,date,state,Negative,Negative range 60,Negative range 70,state_negative_range_80,Suspected,Suspected range 60,state_suspected_range_70,state_suspected_range_80,Infected,Infected range 60,Infected range 70,state_infected_range_80,Recovered,Recovered range 60,Recovered range 70,state_recovered_range_80,% Total infected by population,% Total supected by population,% Total recovered by population,% Total negative by population,% Total infected range 60,% Total supected rage 60,% Total recovered rage 60,% Total negative range 60,% Total infected range 70,% Total supected rage 70,% Total recovered rage 70,% Total negative range 70,% Total infected range 80,% Total supected rage 80,% Total recovered rage 80,% Total negative range 80,Susceptible death 60/69 age,Susceptible death 70/79 age,Susceptible death 80 or more age
2073,11.96,21.47,    28037-Cenicientos,"Cenicientos, Madrid",30.92,2020-04-04,33,0.00,0.00,0.00,0.00,9.00,0.00,2.00,2.00,9.00,1.00,1.00,1.00,15.00,1.00,1.00,3.00,0.43,0.43,0.72,0.00,0.05,0.00,0.05,0.00,0.05,0.10,0.05,0.00,0.05,0.10,0.14,0.00,0.02,0.09,0.20
2073,11.96,21.47,    28037-Cenicientos,"Cenicientos, Madrid",30.92,2020-04-05,33,0.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,9.00,1.00,2.00,3.00,19.00,1.00,1.00,3.00,0.43,0.24,0.92,0.00,0.05,0.00,0.05,0.00,0.10,0.05,0.05,0.00,0.14,0.00,0.14,0.00,0.02,0.18,0.58
6831,6.12,12.71,    28038-Cercedilla,"Cercedilla, Madrid",21.48,2020-03-31,106,106.00,14.00,10.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.41,0.00,0.00,0.00
6831,6.12,12.71,    28038-Cercedilla,"Cercedilla, Madrid",21.48,2020-04-01,106,30.00,3.00,4.00,9.00,39.00,7.00,3.00,11.00,37.00,4.00,3.00,8.00,0.00,0.00,0.00,0.00,0.54,0.57,0.00,0.44,0.06,0.10,0.00,0.04,0.04,0.04,0.00,0.06,0.12,0.16,0.00,0.13,0.09,0.27,1.56
6831,6.12,12.71,    28038-Cercedilla,"Cercedilla, Madrid",21.48,2020-04-02,106,12.00,2.00,2.00,5.00,25.00,3.00,2.00,4.00,53.00,8.00,4.00,14.00,16.00,1.00,2.00,5.00,0.78,0.37,0.23,0.18,0.12,0.04,0.01,0.03,0.06,0.03,0.03,0.03,0.20,0.06,0.07,0.07,0.18,0.36,2.73
6831,6.12,12.71,    28038-Cercedilla,"Cercedilla, Madrid",21.48,2020-04-03,106,4.00,0.00,1.00,1.00,16.00,2.00,1.00,5.00,44.00,8.00,5.00,9.00,42.00,4.00,3.00,13.00,0.64,0.23,0.61,0.06,0.12,0.03,0.06,0.00,0.07,0.01,0.04,0.01,0.13,0.07,0.19,0.01,0.18,0.45,1.75
6831,6.12,12.71,    28038-Cercedilla,"Cercedilla, Madrid",21.48,2020-04-04,106,2.00,0.00,0.00,1.00,4.00,1.00,1.00,1.00,34.00,6.00,5.00,9.00,66.00,7.00,4.00,17.00,0.50,0.06,0.97,0.03,0.09,0.01,0.10,0.00,0.07,0.01,0.06,0.00,0.13,0.01,0.25,0.01,0.14,0.45,1.75
6831,6.12,12.71,    28038-Cercedilla,"Cercedilla, Madrid",21.48,2020-04-05,106,1.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,18.00,3.00,2.00,5.00,85.00,11.00,7.00,22.00,0.26,0.03,1.24,0.01,0.04,0.00,0.16,0.00,0.03,0.01,0.10,0.00,0.07,0.00,0.32,0.01,0.07,0.18,0.97
174,10.34,24.14,    28039-Cervera de Buitrago,"Cervera de Buitrago, Madrid",33.91,2020-03-31,4,4.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.57,0.00,0.00,0.00
174,10.34,24.14,    28039-Cervera de Buitrago,"Cervera de Buitrago, Madrid",33.91,2020-04-01,4,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.20
174,10.34,24.14,    28039-Cervera de Buitrago,"Cervera de Buitrago, Madrid",33.91,2020-04-02,4,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.72,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.20
174,10.34,24.14,    28039-Cervera de Buitrago,"Cervera de Buitrago, Madrid",33.91,2020-04-03,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.72,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.09,0.20
174,10.34,24.14,    28039-Cervera de Buitrago,"Cervera de Buitrago, Madrid",33.91,2020-04-04,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,1.15,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.09,0.00
174,10.34,24.14,    28039-Cervera de Buitrago,"Cervera de Buitrago, Madrid",33.91,2020-04-05,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,0.00,0.00,1.00,0.57,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.09,0.00
2140,6.54,13.36,    28051-Chapinería,"Chapinería, Madrid",21.82,2020-03-31,31,31.00,6.00,3.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.42,0.00,0.00,0.00
2140,6.54,13.36,    28051-Chapinería,"Chapinería, Madrid",21.82,2020-04-01,31,16.00,2.00,1.00,7.00,7.00,4.00,0.00,0.00,8.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.37,0.33,0.00,0.75,0.00,0.19,0.00,0.09,0.09,0.00,0.00,0.05,0.09,0.00,0.00,0.33,0.00,0.18,0.39
2140,6.54,13.36,    28051-Chapinería,"Chapinería, Madrid",21.82,2020-04-02,31,5.00,0.00,1.00,1.00,8.00,3.00,0.00,2.00,11.00,3.00,1.00,4.00,7.00,0.00,1.00,2.00,0.51,0.37,0.33,0.23,0.14,0.14,0.00,0.00,0.05,0.00,0.05,0.05,0.19,0.09,0.09,0.05,0.07,0.09,0.78
2140,6.54,13.36,    28051-Chapinería,"Chapinería, Madrid",21.82,2020-04-03,31,1.00,0.00,0.00,1.00,8.00,2.00,1.00,1.00,11.00,3.00,1.00,4.00,11.00,1.00,1.00,3.00,0.51,0.37,0.51,0.05,0.14,0.09,0.05,0.00,0.05,0.05,0.05,0.00,0.19,0.05,0.14,0.05,0.07,0.09,0.78
2140,6.54,13.36,    28051-Chapinería,"Chapinería, Madrid",21.82,2020-04-04,31,0.00,0.00,0.00,0.00,7.00,2.00,0.00,2.00,8.00,2.00,2.00,2.00,16.00,2.00,1.00,5.00,0.37,0.33,0.75,0.00,0.09,0.09,0.09,0.00,0.09,0.00,0.05,0.00,0.09,0.09,0.23,0.00,0.05,0.18,0.39
2140,6.54,13.36,    28051-Chapinería,"Chapinería, Madrid",21.82,2020-04-05,31,0.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,7.00,3.00,0.00,0.00,20.00,2.00,3.00,7.00,0.33,0.19,0.93,0.00,0.14,0.05,0.09,0.00,0.00,0.00,0.14,0.00,0.00,0.09,0.33,0.00,0.07,0.00,0.00
5447,5.97,12.87,    28052-Chinchón,"Chinchón, Madrid",22.42,2020-03-31,70,70.00,5.00,9.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.40,0.00,0.00,0.00
5447,5.97,12.87,    28052-Chinchón,"Chinchón, Madrid",22.42,2020-04-01,70,21.00,2.00,2.00,5.00,25.00,2.00,3.00,9.00,24.00,1.00,4.00,8.00,0.00,0.00,0.00,0.00,0.44,0.46,0.00,0.39,0.02,0.04,0.00,0.04,0.07,0.06,0.00,0.04,0.15,0.17,0.00,0.09,0.02,0.36,1.56
5447,5.97,12.87,    28052-Chinchón,"Chinchón, Madrid",22.42,2020-04-02,70,8.00,1.00,1.00,2.00,17.00,1.00,2.00,6.00,30.00,2.00,5.00,9.00,15.00,1.00,1.00,5.00,0.55,0.31,0.28,0.15,0.04,0.02,0.02,0.02,0.09,0.04,0.02,0.02,0.17,0.11,0.09,0.04,0.05,0.45,1.75
5447,5.97,12.87,    28052-Chinchón,"Chinchón, Madrid",22.42,2020-04-03,70,2.00,0.00,1.00,1.00,12.00,1.00,0.00,5.00,21.00,1.00,4.00,6.00,35.00,3.00,4.00,10.00,0.39,0.22,0.64,0.04,0.02,0.02,0.06,0.00,0.07,0.00,0.07,0.02,0.11,0.09,0.18,0.02,0.02,0.36,1.17
5447,5.97,12.87,    28052-Chinchón,"Chinchón, Madrid",22.42,2020-04-04,70,1.00,0.00,0.00,1.00,7.00,1.00,1.00,3.00,18.00,0.00,3.00,4.00,44.00,4.00,5.00,14.00,0.33,0.13,0.81,0.02,0.00,0.02,0.07,0.00,0.06,0.02,0.09,0.00,0.07,0.06,0.26,0.02,0.00,0.27,0.78
5447,5.97,12.87,    28052-Chinchón,"Chinchón, Madrid",22.42,2020-04-05,70,0.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,17.00,0.00,3.00,4.00,49.00,4.00,6.00,16.00,0.31,0.07,0.90,0.00,0.00,0.02,0.07,0.00,0.06,0.00,0.11,0.00,0.07,0.04,0.29,0.00,0.00,0.27,0.78
23739,4.81,10.12,    28040-Ciempozuelos,"Ciempozuelos, Madrid",17.28,2020-03-31,345,345.00,45.00,39.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.35,0.00,0.00,0.00
23739,4.81,10.12,    28040-Ciempozuelos,"Ciempozuelos, Madrid",17.28,2020-04-01,345,111.00,12.00,9.00,29.00,126.00,17.00,19.00,24.00,108.00,16.00,11.00,31.00,0.00,0.00,0.00,0.00,0.45,0.53,0.00,0.47,0.07,0.07,0.00,0.05,0.05,0.08,0.00,0.04,0.13,0.10,0.00,0.12,0.36,0.98,6.04
23739,4.81,10.12,    28040-Ciempozuelos,"Ciempozuelos, Madrid",17.28,2020-04-02,345,34.00,5.00,2.00,12.00,94.00,13.00,11.00,19.00,165.00,17.00,22.00,35.00,52.00,10.00,4.00,18.00,0.70,0.40,0.22,0.14,0.07,0.05,0.04,0.02,0.09,0.05,0.02,0.01,0.15,0.08,0.08,0.05,0.38,1.96,6.83
23739,4.81,10.12,    28040-Ciempozuelos,"Ciempozuelos, Madrid",17.28,2020-04-03,345,14.00,1.00,0.00,7.00,53.00,8.00,8.00,11.00,148.00,18.00,16.00,30.00,130.00,18.00,15.00,36.00,0.62,0.22,0.55,0.06,0.08,0.03,0.08,0.00,0.07,0.03,0.06,0.00,0.13,0.05,0.15,0.03,0.41,1.42,5.85
23739,4.81,10.12,    28040-Ciempozuelos,"Ciempozuelos, Madrid",17.28,2020-04-04,345,5.00,0.00,0.00,2.00,35.00,5.00,5.00,10.00,93.00,11.00,10.00,18.00,212.00,29.00,24.00,54.00,0.39,0.15,0.89,0.02,0.05,0.02,0.12,0.00,0.04,0.02,0.10,0.00,0.08,0.04,0.23,0.01,0.25,0.89,3.51
23739,4.81,10.12,    28040-Ciempozuelos,"Ciempozuelos, Madrid",17.28,2020-04-05,345,0.00,0.00,0.00,0.00,23.00,2.00,4.00,5.00,56.00,6.00,6.00,14.00,266.00,37.00,29.00,65.00,0.24,0.10,1.12,0.00,0.03,0.01,0.16,0.00,0.03,0.02,0.12,0.00,0.06,0.02,0.27,0.00,0.14,0.53,2.73
6921,2.30,4.65,    28041-Cobeña,"Cobeña, Madrid",9.67,2020-03-31,101,101.00,8.00,13.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.30,0.00,0.00,0.00
6921,2.30,4.65,    28041-Cobeña,"Cobeña, Madrid",9.67,2020-04-01,101,34.00,6.00,5.00,4.00,33.00,1.00,5.00,8.00,34.00,1.00,3.00,9.00,0.00,0.00,0.00,0.00,0.49,0.48,0.00,0.49,0.01,0.01,0.00,0.09,0.04,0.07,0.00,0.07,0.13,0.12,0.00,0.06,0.02,0.27,1.75
6921,2.30,4.65,    28041-Cobeña,"Cobeña, Madrid",9.67,2020-04-02,101,7.00,0.00,0.00,2.00,30.00,3.00,4.00,6.00,52.00,4.00,7.00,11.00,12.00,1.00,2.00,2.00,0.75,0.43,0.17,0.10,0.06,0.04,0.01,0.00,0.10,0.06,0.03,0.00,0.16,0.09,0.03,0.03,0.09,0.62,2.15
6921,2.30,4.65,    28041-Cobeña,"Cobeña, Madrid",9.67,2020-04-03,101,3.00,0.00,0.00,0.00,16.00,2.00,3.00,2.00,42.00,3.00,3.00,12.00,40.00,3.00,7.00,7.00,0.61,0.23,0.58,0.04,0.04,0.03,0.04,0.00,0.04,0.04,0.10,0.00,0.17,0.03,0.10,0.00,0.07,0.27,2.34
6921,2.30,4.65,    28041-Cobeña,"Cobeña, Madrid",9.67,2020-04-04,101,2.00,0.00,0.00,0.00,6.00,1.00,1.00,0.00,27.00,2.00,2.00,7.00,66.00,5.00,10.00,14.00,0.39,0.09,0.95,0.03,0.03,0.01,0.07,0.00,0.03,0.01,0.14,0.00,0.10,0.00,0.20,0.00,0.05,0.18,1.36
6921,2.30,4.65,    28041-Cobeña,"Cobeña, Madrid",9.67,2020-04-05,101,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,16.00,1.00,3.00,4.00,80.00,6.00,10.00,17.00,0.23,0.07,1.16,0.00,0.01,0.01,0.09,0.00,0.04,0.00,0.14,0.00,0.06,0.00,0.25,0.00,0.02,0.27,0.78
6780,3.33,8.32,    28046-Collado Mediano,"Collado Mediano, Madrid",16.74,2020-03-31,102,102.00,10.00,9.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.44,0.00,0.00,0.00
6780,3.33,8.32,    28046-Collado Mediano,"Collado Mediano, Madrid",16.74,2020-04-01,102,38.00,3.00,4.00,6.00,34.00,5.00,4.00,10.00,30.00,2.00,1.00,14.00,0.00,0.00,0.00,0.00,0.44,0.50,0.00,0.56,0.03,0.07,0.00,0.04,0.01,0.06,0.00,0.06,0.21,0.15,0.00,0.09,0.05,0.09,2.73
6780,3.33,8.32,    28046-Collado Mediano,"Collado Mediano, Madrid",16.74,2020-04-02,102,7.00,0.00,0.00,3.00,28.00,2.00,3.00,6.00,50.00,6.00,6.00,14.00,17.00,2.00,0.00,7.00,0.74,0.41,0.25,0.10,0.09,0.03,0.03,0.00,0.09,0.04,0.00,0.00,0.21,0.09,0.10,0.04,0.14,0.53,2.73
6780,3.33,8.32,    28046-Collado Mediano,"Collado Mediano, Madrid",16.74,2020-04-03,102,4.00,0.00,0.00,2.00,13.00,2.00,2.00,3.00,42.00,3.00,5.00,10.00,43.00,5.00,2.00,15.00,0.62,0.19,0.63,0.06,0.04,0.03,0.07,0.00,0.07,0.03,0.03,0.00,0.15,0.04,0.22,0.03,0.07,0.45,1.95
6780,3.33,8.32,    28046-Collado Mediano,"Collado Mediano, Madrid",16.74,2020-04-04,102,3.00,0.00,0.00,2.00,10.00,1.00,2.00,1.00,28.00,3.00,3.00,8.00,61.00,6.00,4.00,19.00,0.41,0.15,0.90,0.04,0.04,0.01,0.09,0.00,0.04,0.03,0.06,0.00,0.12,0.01,0.28,0.03,0.07,0.27,1.56
6780,3.33,8.32,    28046-Collado Mediano,"Collado Mediano, Madrid",16.74,2020-04-05,102,1.00,0.00,0.00,1.00,4.00,0.00,0.00,2.00,22.00,2.00,3.00,5.00,75.00,8.00,6.00,22.00,0.32,0.06,1.11,0.01,0.03,0.00,0.12,0.00,0.04,0.00,0.09,0.00,0.07,0.03,0.32,0.01,0.05,0.27,0.97
62587,3.22,7.88,    28047-Collado Villalba,"Collado Villalba, Madrid",15.73,2020-03-31,1209,1209.00,143.00,150.00,305.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.49,0.00,0.00,0.00
62587,3.22,7.88,    28047-Collado Villalba,"Collado Villalba, Madrid",15.73,2020-04-01,1209,403.00,36.00,53.00,108.00,384.00,45.00,51.00,96.00,422.00,62.00,46.00,101.00,0.00,0.00,0.00,0.00,0.67,0.61,0.00,0.64,0.10,0.07,0.00,0.06,0.07,0.08,0.00,0.08,0.16,0.15,0.00,0.17,1.40,4.09,19.70
62587,3.22,7.88,    28047-Collado Villalba,"Collado Villalba, Madrid",15.73,2020-04-02,1209,135.00,11.00,18.00,42.00,317.00,35.00,54.00,70.00,557.00,71.00,52.00,143.00,200.00,26.00,26.00,50.00,0.89,0.51,0.32,0.22,0.11,0.06,0.04,0.02,0.08,0.09,0.04,0.03,0.23,0.11,0.08,0.07,1.60,4.63,27.89
62587,3.22,7.88,    28047-Collado Villalba,"Collado Villalba, Madrid",15.73,2020-04-03,1209,46.00,7.00,3.00,14.00,215.00,18.00,41.00,58.00,486.00,64.00,58.00,115.00,462.00,54.00,48.00,118.00,0.78,0.34,0.74,0.07,0.10,0.03,0.09,0.01,0.09,0.07,0.08,0.00,0.18,0.09,0.19,0.02,1.45,5.16,22.43
62587,3.22,7.88,    28047-Collado Villalba,"Collado Villalba, Madrid",15.73,2020-04-04,1209,14.00,1.00,0.00,7.00,130.00,7.00,27.00,32.00,349.00,47.00,46.00,81.00,716.00,88.00,77.00,185.00,0.56,0.21,1.14,0.02,0.08,0.01,0.14,0.00,0.07,0.04,0.12,0.00,0.13,0.05,0.30,0.01,1.06,4.09,15.79
62587,3.22,7.88,    28047-Collado Villalba,"Collado Villalba, Madrid",15.73,2020-04-05,1209,4.00,1.00,0.00,1.00,83.00,2.00,18.00,22.00,237.00,28.00,37.00,58.00,885.00,112.00,95.00,224.00,0.38,0.13,1.41,0.01,0.04,0.00,0.18,0.00,0.06,0.03,0.15,0.00,0.09,0.04,0.36,0.00,0.63,3.29,11.31
8409,4.94,11.77,    28043-Colmenar de Oreja,"Colmenar de Oreja, Madrid",20.60,2020-03-31,146,146.00,7.00,25.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.44,0.00,0.00,0.00
8409,4.94,11.77,    28043-Colmenar de Oreja,"Colmenar de Oreja, Madrid",20.60,2020-04-01,146,57.00,2.00,15.00,7.00,48.00,1.00,5.00,16.00,41.00,4.00,5.00,14.00,0.00,0.00,0.00,0.00,0.49,0.57,0.00,0.68,0.05,0.01,0.00,0.02,0.06,0.06,0.00,0.18,0.17,0.19,0.00,0.08,0.09,0.45,2.73
8409,4.94,11.77,    28043-Colmenar de Oreja,"Colmenar de Oreja, Madrid",20.60,2020-04-02,146,21.00,2.00,4.00,4.00,45.00,0.00,9.00,11.00,58.00,3.00,9.00,15.00,22.00,2.00,3.00,7.00,0.69,0.54,0.26,0.25,0.04,0.00,0.02,0.02,0.11,0.11,0.04,0.05,0.18,0.13,0.08,0.05,0.07,0.80,2.92
8409,4.94,11.77,    28043-Colmenar de Oreja,"Colmenar de Oreja, Madrid",20.60,2020-04-03,146,5.00,0.00,2.00,1.00,40.00,0.00,10.00,8.00,54.00,4.00,6.00,14.00,47.00,3.00,7.00,14.00,0.64,0.48,0.56,0.06,0.05,0.00,0.04,0.00,0.07,0.12,0.08,0.02,0.17,0.10,0.17,0.01,0.09,0.53,2.73
8409,4.94,11.77,    28043-Colmenar de Oreja,"Colmenar de Oreja, Madrid",20.60,2020-04-04,146,1.00,0.00,1.00,0.00,21.00,0.00,4.00,2.00,53.00,1.00,12.00,15.00,71.00,6.00,8.00,20.00,0.63,0.25,0.84,0.01,0.01,0.00,0.07,0.00,0.14,0.05,0.10,0.01,0.18,0.02,0.24,0.00,0.02,1.07,2.92
8409,4.94,11.77,    28043-Colmenar de Oreja,"Colmenar de Oreja, Madrid",20.60,2020-04-05,146,0.00,0.00,0.00,0.00,10.00,0.00,2.00,1.00,44.00,1.00,9.00,12.00,92.00,6.00,14.00,24.00,0.52,0.12,1.09,0.00,0.01,0.00,0.07,0.00,0.11,0.02,0.17,0.00,0.14,0.01,0.29,0.00,0.02,0.80,2.34
1581,8.60,15.56,    28042-Colmenar del Arroyo,"Colmenar del Arroyo, Madrid",25.43,2020-03-31,29,29.00,2.00,4.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.63,0.00,0.00,0.00
1581,8.60,15.56,    28042-Colmenar del Arroyo,"Colmenar del Arroyo, Madrid",25.43,2020-04-01,29,13.00,0.00,3.00,5.00,7.00,1.00,1.00,2.00,9.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.57,0.44,0.00,0.82,0.06,0.06,0.00,0.00,0.00,0.06,0.00,0.19,0.19,0.13,0.00,0.32,0.02,0.00,0.58
1581,8.60,15.56,    28042-Colmenar del Arroyo,"Colmenar del Arroyo, Madrid",25.43,2020-04-02,29,3.00,0.00,0.00,1.00,9.00,0.00,3.00,3.00,12.00,2.00,1.00,4.00,5.00,0.00,0.00,2.00,0.76,0.57,0.32,0.19,0.13,0.00,0.00,0.00,0.06,0.19,0.00,0.00,0.25,0.19,0.13,0.06,0.05,0.09,0.78
1581,8.60,15.56,    28042-Colmenar del Arroyo,"Colmenar del Arroyo, Madrid",25.43,2020-04-03,29,1.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,13.00,1.00,2.00,5.00,13.00,1.00,1.00,4.00,0.82,0.13,0.82,0.06,0.06,0.00,0.06,0.00,0.13,0.06,0.06,0.00,0.32,0.00,0.25,0.06,0.02,0.18,0.97
1581,8.60,15.56,    28042-Colmenar del Arroyo,"Colmenar del Arroyo, Madrid",25.43,2020-04-04,29,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,1.00,0.00,4.00,20.00,1.00,3.00,6.00,0.51,0.06,1.27,0.00,0.06,0.00,0.06,0.00,0.00,0.06,0.19,0.00,0.25,0.00,0.38,0.00,0.02,0.00,0.78
1581,8.60,15.56,    28042-Colmenar del Arroyo,"Colmenar del Arroyo, Madrid",25.43,2020-04-05,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,2.00,24.00,2.00,3.00,8.00,0.32,0.00,1.52,0.00,0.00,0.00,0.13,0.00,0.06,0.00,0.19,0.00,0.13,0.00,0.51,0.00,0.00,0.09,0.39
47445,3.98,8.45,    28045-Colmenar Viejo,"Colmenar Viejo, Madrid",16.06,2020-03-31,914,914.00,106.00,99.00,249.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.52,0.00,0.00,0.00
47445,3.98,8.45,    28045-Colmenar Viejo,"Colmenar Viejo, Madrid",16.06,2020-04-01,914,290.00,40.00,26.00,68.00,311.00,36.00,38.00,81.00,313.00,30.00,35.00,100.00,0.00,0.00,0.00,0.00,0.66,0.66,0.00,0.61,0.06,0.08,0.00,0.08,0.07,0.08,0.00,0.05,0.21,0.17,0.00,0.14,0.68,3.12,19.50
47445,3.98,8.45,    28045-Colmenar Viejo,"Colmenar Viejo, Madrid",16.06,2020-04-02,914,92.00,10.00,5.00,24.00,238.00,26.00,25.00,53.00,431.00,54.00,52.00,125.00,153.00,16.00,17.00,47.00,0.91,0.50,0.32,0.19,0.11,0.05,0.03,0.02,0.11,0.05,0.04,0.01,0.26,0.11,0.10,0.05,1.22,4.63,24.38
47445,3.98,8.45,    28045-Colmenar Viejo,"Colmenar Viejo, Madrid",16.06,2020-04-03,914,26.00,2.00,2.00,7.00,165.00,20.00,20.00,45.00,370.00,44.00,33.00,92.00,353.00,40.00,44.00,105.00,0.78,0.35,0.74,0.05,0.09,0.04,0.08,0.00,0.07,0.04,0.09,0.00,0.19,0.09,0.22,0.01,0.99,2.94,17.94
47445,3.98,8.45,    28045-Colmenar Viejo,"Colmenar Viejo, Madrid",16.06,2020-04-04,914,6.00,0.00,0.00,2.00,81.00,12.00,12.00,18.00,305.00,30.00,27.00,84.00,522.00,64.00,60.00,145.00,0.64,0.17,1.10,0.01,0.06,0.03,0.13,0.00,0.06,0.03,0.13,0.00,0.18,0.04,0.31,0.00,0.68,2.40,16.38
47445,3.98,8.45,    28045-Colmenar Viejo,"Colmenar Viejo, Madrid",16.06,2020-04-05,914,0.00,0.00,0.00,0.00,36.00,5.00,6.00,7.00,211.00,22.00,21.00,53.00,667.00,79.00,72.00,189.00,0.44,0.08,1.41,0.00,0.05,0.01,0.17,0.00,0.04,0.01,0.15,0.00,0.11,0.01,0.40,0.00,0.50,1.87,10.34
8934,2.71,6.29,    28044-Colmenarejo,"Colmenarejo, Madrid",13.57,2020-03-31,93,93.00,17.00,11.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.18,0.00,0.00,0.00
8934,2.71,6.29,    28044-Colmenarejo,"Colmenarejo, Madrid",13.57,2020-04-01,93,28.00,4.00,4.00,3.00,32.00,5.00,3.00,6.00,33.00,8.00,4.00,7.00,0.00,0.00,0.00,0.00,0.37,0.36,0.00,0.31,0.09,0.06,0.00,0.04,0.04,0.03,0.00,0.04,0.08,0.07,0.00,0.03,0.18,0.36,1.36
8934,2.71,6.29,    28044-Colmenarejo,"Colmenarejo, Madrid",13.57,2020-04-02,93,8.00,0.00,1.00,3.00,25.00,5.00,3.00,2.00,46.00,10.00,6.00,8.00,14.00,2.00,1.00,3.00,0.51,0.28,0.16,0.09,0.11,0.06,0.02,0.00,0.07,0.03,0.01,0.01,0.09,0.02,0.03,0.03,0.23,0.53,1.56
